Data Source,World Development Indicators
,
Last Updated Date,10-07-25
,
Country Name,Country Code,Indicator Name,Indicator Code,2020,2021,2022,2023,2024
Europe & Central Asia,ECS,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,35088050617955.9,39054850848058.3,43516146601723.5,45194810740365.4,47882610499948
Ecuador,ECU,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,202250004868.163,238844767157.606,270888879826.819,286216244218.746,287270811094.559
"Egypt, Arab Rep.",EGY,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1665073256894.19,1728601012503.64,1973837735890.74,2121756770377.81,2225198389821.18
Euro area,EMU,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,17242206398650.1,18814407928932.5,20894509526633.2,21529972425869.4,22771768044453.1
Eritrea,ERI,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,
Spain,ESP,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1862544224980.41,2099468112223.22,2411673616292.85,2573555479216.76,2778406789838.98
Estonia,EST,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,54074496993.4123,58895787305.748,64477259538.1489,64116051940.5513,67685292223.1433
Ethiopia,ETH,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,286209788226.356,316145121458.38,356708609996.737,393913047366.849,432956582272.738
European Union,EUU,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,21259965541737.4,23194293266141.8,25754473475786.8,26520185531191.5,28106717050858.2
Fragile and conflict affected situations,FCS,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,4878744257039.49,5249991282376.92,5520109078554.07,5833993549609.11,6097129600838.84
Finland,FIN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,294705726881.034,314676442275.461,340851311803.993,344041186768.172,361295951878.505
Fiji,FJI,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,10279861871.0686,9795237652.39681,12570554288.7776,14002772365.9417,14890504165.0068
France,FRA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,3345024904336.18,3562923665911.39,3823961003427.32,3982377923514.52,4201559866305.39
Faroe Islands,FRO,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,3240676994.6779,3612505897.96273,4007679026.98816,4255233982.57627,
"Micronesia, Fed. Sts.",FSM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,408436301.392917,440323830.730667,458009181.572488,476777887.975835,491818179.321161
Gabon,GAB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,33623700958.8772,44025399637.0532,48596848106.4511,51576945114.2288,54611645902.5402
United Kingdom,GBR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,3219066303872.09,3416480549650.65,3957840318954.8,3966748015298.24,4196506479513.42
Georgia,GEO,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,62509091761.2555,70150781357.7257,83387742354.0657,93154469864.0276,104402557696.264
Ghana,GHA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,192835182975.95,214867175690.96,238944324844.797,255315535798.758,276354650562.227
Gibraltar,GIB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,
Guinea,GIN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,44550864730.0015,51260936277.8168,57097045519.8568,62429641817.0929,67563663630.9152
"Gambia, The",GMB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,6366827515.11477,7155630814.36372,8086871862.08048,8779798182.33222,9508853052.23079
Guinea-Bissau,GNB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,4651372626.0746,5113853513.57436,5784423379.20533,6260059859.57007,6720047738.84264
Equatorial Guinea,GNQ,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,23476322655.934,29585328380.1352,32716287050.0915,32168599846.5359,33245374421.9212
Greece,GRC,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,315962662965.275,354397719330.584,406715086017.971,428522833617.814,457879263225.249
Grenada,GRD,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1670787843.20161,1785107389.63748,2052376386.20236,2225731369.77757,2363736937.19831
Greenland,GRL,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,3663823635.61473,3926166709.012,4290395274.14051,4483270596.14879,
Guatemala,GTM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,190017068738.276,208106516253.135,232272538658.502,249132470255.789,264474716594.799
Guam,GUM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,
Guyana,GUY,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,13581364399.677,18646751960.8246,32628001896.9885,45225503511.8058,66408625273.3259
High income,HIC,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,69353862795581.4,77036437415752.8,85161753800059.2,89129549261467,93981788595588.3
"Hong Kong SAR, China",HKG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,435300511002.663,488411631115.747,503958247509.736,538875248007.027,565930796570.721
Honduras,HND,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,54491208505.2883,63827909343.1217,71211813748.7635,76412349804.3719,81041415057.1236
Heavily indebted poor countries (HIPC),HPC,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,2374127406675.88,2610318769933.95,2925162338401.08,3127571573950.64,3365117805576.31
Croatia,HRV,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,123673080238.848,143260829579.288,161780896899.541,176012568553.046,187807190506.827
Haiti,HTI,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,34891691692.7124,35658760079.8831,37558509107.2691,38184773698.6659,37477453598.1256
Hungary,HUN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,344108181960.693,374519891736.617,422741088429.769,435174441789.902,455509390728.313
IBRD only,IBD,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,70942370949035.1,80509095092778.5,89935290281155.4,97784416887468.7,104569250641115
IDA & IBRD total,IBT,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,78465332323918.9,88686218417769.8,99083060905905.6,107545938082582,114992508043933
IDA total,IDA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,7537753115657.05,8193638533593.98,9166229447023.55,9781452043621.84,10444248919234.3
